t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 31.16	 45.3	 45.7	  25.6	  22.9	   30.0	  147.8	  51.0	3342.0
  20.6	 31.19	 45.2	 45.6	  25.6	  22.9	   30.0	  147.7	  51.0	3410.0
  40.9	 31.19	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	3408.0
  61.2	 31.13	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3410.0
  81.4	 31.13	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3411.0
 101.7	 31.12	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	3411.0
 122.0	 31.15	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3413.0
 142.3	 31.15	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3413.0
 162.6	 31.13	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3420.0
 182.9	 31.13	 45.1	 45.6	  25.6	  22.9	   30.0	  147.7	  51.1	3420.0
 203.1	 31.15	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3423.0
 223.4	 31.15	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3425.0
 243.7	 31.16	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3428.0
 264.0	 31.16	 45.2	 45.6	  25.6	  22.9	   30.0	  147.7	  51.0	3430.0
