t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 30.14	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	2125.0
  20.6	 30.13	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.7	2015.0
  40.9	 30.13	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.1	2605.0
  61.2	 30.17	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2884.0
  81.4	 30.17	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.2	2892.0
 101.7	 30.25	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.1	2895.0
 122.0	 30.25	 45.2	 45.6	  25.6	  22.9	   30.1	  147.7	  51.0	2893.0
 142.3	 30.29	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	2899.0
 162.6	 30.32	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	2902.0
 182.9	 30.32	 45.2	 45.7	  25.6	  22.9	   30.0	  147.8	  51.0	2919.0
 203.1	 30.36	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	2926.0
