t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 31.34	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3461.0
  20.6	 31.34	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3479.0
  40.9	 31.34	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3481.0
  61.2	 31.24	 45.1	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	3481.0
  81.5	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3483.0
 101.9	 31.23	 45.2	 45.6	  25.6	  22.9	   30.0	  147.7	  51.0	3482.0
 122.2	 31.23	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3483.0
 142.6	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3484.0
 162.8	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3488.0
 183.1	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3488.0
 203.4	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3488.0
 223.6	 31.24	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	3491.0
 243.9	 31.24	 45.2	 45.7	  25.6	  22.9	   30.0	  147.8	  51.1	3484.0
