t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
1217.9	 30.56	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3521.0
1238.2	 30.56	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3545.0
1258.5	 30.62	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3552.0
1278.8	 30.62	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3548.0
1299.1	 30.64	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3548.0
1319.4	 30.64	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3552.0
1339.7	 30.67	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3548.0
1360.0	 30.67	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3552.0
1380.3	 30.74	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3548.0
1400.6	 30.81	 45.6	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3549.0
1420.8	 30.81	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3554.0
1441.1	 30.78	 46.0	 46.4	  25.6	  22.9	   30.0	  147.8	  51.0	3493.0
1461.4	 30.78	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.2	3551.0
1481.7	 30.80	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3552.0
1502.0	 30.80	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3554.0
1522.3	 30.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3557.0
1542.5	 30.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3557.0
1562.9	 30.84	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3560.0
1583.1	 30.84	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3556.0
1603.4	 30.88	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3556.0
1623.7	 30.91	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3566.0
1644.0	 30.91	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3570.0
1664.3	 30.98	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3569.0
1684.6	 30.98	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3565.0
1704.8	 30.99	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3569.0
1725.1	 30.99	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3570.0
1745.4	 31.01	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3572.0
1765.7	 31.01	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3570.0
1785.9	 31.02	 45.5	 45.9	  25.6	  22.9	   30.1	  147.7	  51.1	3574.0
1806.2	 31.02	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3573.0
1826.5	 31.06	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3571.0
1846.8	 31.15	 45.6	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3572.0
1867.1	 31.15	 45.9	 46.3	  25.6	  22.9	   30.0	  147.8	  51.1	3520.0
1887.4	 31.15	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3585.0
1907.6	 31.15	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3584.0
1927.9	 31.17	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3585.0
1948.2	 31.17	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3577.0
1968.5	 31.19	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3586.0
1988.7	 31.19	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3587.0
2009.0	 31.19	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3584.0
2029.3	 31.19	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3584.0
2049.6	 31.19	 45.6	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3586.0
2069.9	 31.20	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3586.0
2090.2	 31.20	 45.6	 46.0	  25.6	  22.9	   30.0	  147.7	  51.1	3585.0
2110.5	 31.23	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3598.0
2130.8	 31.23	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3601.0
2151.0	 31.24	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3598.0
2171.3	 31.24	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3601.0
2191.6	 31.21	 45.5	 45.9	  25.6	  22.9	   30.1	  147.8	  51.0	3598.0
2211.8	 31.21	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3601.0
2232.1	 31.21	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3603.0
2252.4	 31.21	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3597.0
2272.7	 31.25	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3600.0
2293.0	 31.28	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3602.0
2313.2	 31.28	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3598.0
2333.5	 31.31	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3598.0
2353.8	 31.31	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3598.0
2374.1	 31.32	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3614.0
2394.4	 31.32	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3616.0
2414.7	 31.32	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3609.0
2434.9	 31.32	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3609.0
2455.2	 31.34	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3605.0
2475.5	 31.34	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3603.0
2495.8	 31.32	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3602.0
2516.0	 31.38	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3608.0
2536.3	 31.38	 45.6	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3604.0
2556.7	 31.36	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3606.0
2577.0	 31.36	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3608.0
2597.3	 31.36	 45.5	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3604.0
2617.5	 31.36	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3604.0
2637.8	 31.43	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3610.0
2658.1	 31.43	 45.7	 46.1	  25.6	  22.9	   30.0	  147.8	  51.1	3604.0
2678.4	 31.48	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3619.0
2698.7	 31.48	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3624.0
2719.0	 31.52	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3620.0
2739.2	 31.52	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3620.0
2759.6	 31.52	 45.5	 45.9	  25.7	  22.9	   30.0	  147.7	  51.1	3620.0
2779.8	 31.52	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3619.0
2800.1	 31.52	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3623.0
2820.4	 31.53	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3621.0
2840.7	 31.53	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3622.0
2860.9	 31.53	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3616.0
2881.2	 31.53	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3621.0
2901.5	 31.55	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3619.0
2921.8	 31.55	 45.4	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3620.0
2942.1	 31.53	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3622.0
2962.4	 31.53	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3620.0
2982.7	 31.53	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3618.0
3003.0	 31.55	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3621.0
3023.3	 31.55	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3620.0
3043.5	 31.58	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3619.0
3063.8	 31.58	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3619.0
3084.1	 31.58	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3620.0
3104.4	 31.58	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3635.0
3124.6	 31.59	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3636.0
3144.9	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3632.0
3165.2	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3631.0
3185.5	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3633.0
3205.8	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3633.0
3226.1	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3631.0
3246.3	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3631.0
3266.6	 31.60	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3632.0
3286.9	 31.60	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3623.0
3307.1	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3632.0
3327.4	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3633.0
3347.7	 31.62	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3624.0
3368.0	 31.62	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3631.0
3388.3	 31.60	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3632.0
3408.5	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3629.0
3428.8	 31.59	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3621.0
3449.1	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3633.0
3469.4	 31.59	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3630.0
3489.6	 31.59	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3630.0
3509.9	 31.59	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3629.0
3530.2	 31.60	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3627.0
3550.5	 31.60	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3631.0
3570.8	 31.59	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3632.0
3591.1	 31.59	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3639.0
3611.4	 31.62	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3643.0
3631.6	 31.62	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3641.0
3651.9	 31.62	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3640.0
3672.2	 31.60	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3640.0
3692.5	 31.60	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3642.0
3712.7	 31.63	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3635.0
3733.0	 31.63	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3638.0
3753.3	 31.63	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3645.0
3773.6	 31.63	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3635.0
3793.8	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3641.0
3814.1	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3644.0
3834.4	 31.69	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3643.0
3854.6	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3639.0
3874.9	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3640.0
3895.2	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3642.0
3915.4	 31.68	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3640.0
3935.7	 31.71	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3639.0
3956.0	 31.71	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3644.0
3976.3	 31.69	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3643.0
3996.6	 31.69	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3639.0
4016.9	 31.71	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3641.0
4037.2	 31.71	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3642.0
4057.4	 31.71	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3638.0
4077.7	 31.72	 45.6	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3633.0
4098.0	 31.72	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3634.0
4118.4	 31.71	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3643.0
4138.6	 31.71	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3638.0
4158.9	 31.78	 45.6	 46.1	  25.6	  22.9	   30.0	  147.8	  50.9	3639.0
4179.2	 31.78	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3638.0
4199.5	 31.79	 45.6	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3636.0
4219.8	 31.79	 45.6	 46.1	  25.6	  22.9	   30.0	  147.7	  51.0	3637.0
4240.1	 31.78	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3638.0
4260.3	 31.78	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3642.0
4280.6	 31.79	 45.6	 46.1	  25.6	  22.9	   30.0	  147.8	  51.0	3638.0
4300.9	 31.78	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3642.0
4321.2	 31.78	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.2	3659.0
4341.5	 31.79	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
4361.8	 31.79	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
4382.1	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
4402.4	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
4422.7	 31.79	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3650.0
4443.0	 31.79	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
4463.2	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3649.0
4483.5	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3644.0
4503.8	 31.83	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
4524.1	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
4544.4	 31.82	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
4564.7	 31.83	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
4584.9	 31.83	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
4605.2	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
4625.5	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
4645.8	 31.83	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
4666.1	 31.83	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3642.0
4686.4	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3647.0
4706.7	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3649.0
4726.9	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3648.0
4747.2	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3644.0
4767.5	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3648.0
4787.7	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3645.0
4808.1	 31.86	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
4828.4	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
4848.6	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3646.0
4868.9	 31.85	 45.6	 46.0	  25.6	  22.9	   30.0	  147.7	  50.9	3639.0
4889.2	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
4909.5	 31.85	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3649.0
4929.8	 31.85	 45.5	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3645.0
4950.0	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3647.0
4970.3	 31.85	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
4990.6	 31.85	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3661.0
5010.9	 31.85	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3661.0
5031.2	 31.85	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3654.0
5051.5	 31.86	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
5071.8	 31.86	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3652.0
5092.0	 31.85	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
5112.3	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
5132.6	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
5152.9	 31.85	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
5173.2	 31.86	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
5193.4	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
5213.7	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
5234.0	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
5254.3	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3656.0
5274.6	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
5294.9	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
5315.2	 31.86	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
5335.5	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3652.0
5355.7	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3650.0
5376.0	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3653.0
5396.3	 31.85	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3653.0
5416.6	 31.86	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
5436.8	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3647.0
5457.1	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3651.0
5477.4	 31.86	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
5497.7	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
5517.9	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3644.0
5538.2	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3652.0
5558.5	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
5578.8	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3651.0
5599.1	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
