t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 20.34	  0.5	  0.4	  25.6	  23.0	   20.7	  147.8	  51.0	  0.0
  20.6	 20.34	  0.5	  0.4	  25.6	  22.9	   20.7	  147.8	  51.0	  0.0
  40.8	 20.34	  0.5	  0.4	  25.6	  22.6	   20.7	  147.8	  51.0	  0.0
  61.1	 20.34	  0.5	  0.4	  25.6	  23.1	   20.7	  147.8	  51.0	  0.0
  81.5	 20.34	  0.5	  0.4	  25.6	  22.8	   20.7	  147.8	  51.0	  0.0
 101.8	 20.34	  0.5	  0.4	  25.6	  22.8	   20.7	  147.8	  51.0	  0.0
 122.1	 20.34	  0.5	  0.4	  25.6	  23.0	   20.7	  147.8	  51.0	  0.0
 142.4	 20.34	  0.5	  0.4	  25.6	  22.6	   20.7	  147.8	  51.0	  0.0
 162.7	 20.34	  0.5	  0.4	  25.6	  23.0	   20.7	  147.8	  51.0	  0.0
 183.1	 20.34	  0.5	  0.4	  25.6	  22.9	   20.7	  147.7	  51.0	  0.0
 203.3	 20.34	  0.5	  0.4	  25.6	  22.8	   20.7	  147.8	  51.0	  0.0
 223.6	 20.34	  0.5	  0.4	  25.6	  23.1	   20.7	  147.8	  51.0	  0.0
 243.9	 20.34	  0.5	  0.4	  25.6	  22.8	   20.7	  147.8	  51.0	  0.0
 264.2	 20.34	  5.0	  5.5	  25.6	  22.9	   20.8	  147.8	  51.0	  2.0
 284.5	 20.34	 17.7	 18.1	  25.6	  23.2	   27.0	  147.8	  51.1	  1.0
 304.9	 20.03	 32.1	 32.5	  25.9	  23.2	   31.3	  147.8	  51.1	  1.0
 325.2	 26.38	 41.8	 42.0	  25.9	  23.3	   31.4	  148.0	  52.5	  1.0
 345.5	 26.38	 44.1	 44.5	  25.9	  23.2	   30.5	  148.0	  53.1	  1.0
 365.7	 28.51	 45.2	 45.6	  25.8	  23.1	   29.4	  147.8	  52.1	  1.0
 386.1	 28.51	 45.5	 45.9	  25.8	  23.1	   29.9	  147.8	  51.5	3522.0
 406.5	 28.07	 45.6	 45.9	  25.8	  23.0	   30.1	  147.8	  51.5	3524.0
 426.8	 28.07	 45.8	 46.1	  25.7	  23.0	   30.0	  147.7	  51.3	3512.0
 447.1	 28.27	 45.5	 45.9	  25.7	  23.0	   30.0	  147.8	  51.3	3519.0
 467.4	 28.27	 45.5	 45.9	  25.7	  22.9	   30.0	  147.8	  51.3	3516.0
 487.7	 28.51	 45.8	 46.2	  25.7	  23.0	   30.1	  147.8	  51.1	3487.0
 507.9	 28.51	 45.5	 45.9	  25.7	  23.0	   30.0	  147.8	  51.3	3515.0
 528.2	 28.73	 45.5	 45.8	  25.7	  22.9	   30.0	  147.8	  51.3	3513.0
 548.5	 28.98	 45.5	 45.9	  25.7	  23.0	   30.0	  147.8	  51.1	3514.0
 568.8	 28.98	 45.8	 46.2	  25.6	  22.9	   30.0	  147.8	  51.1	3487.0
 589.1	 29.14	 45.4	 45.8	  25.6	  22.9	   30.1	  147.8	  51.3	3518.0
 609.4	 29.14	 45.3	 45.8	  25.7	  23.0	   30.0	  147.8	  51.3	3517.0
 629.6	 29.29	 45.5	 45.8	  25.7	  22.9	   30.0	  147.8	  51.3	3516.0
 649.9	 29.29	 45.6	 45.9	  25.6	  22.9	   30.1	  147.7	  51.1	3511.0
 670.2	 29.45	 45.5	 45.9	  25.6	  23.0	   30.0	  147.8	  51.2	3512.0
 690.5	 29.45	 45.5	 45.9	  25.7	  22.9	   30.0	  147.8	  51.1	3513.0
 710.7	 29.57	 45.6	 45.9	  25.6	  23.0	   30.1	  147.8	  51.1	3509.0
 731.0	 29.57	 45.5	 45.9	  25.6	  23.0	   30.0	  147.7	  51.2	3462.0
 751.3	 29.67	 45.4	 45.8	  25.7	  22.9	   30.0	  147.8	  51.3	3515.0
 771.6	 29.77	 45.4	 45.8	  25.6	  23.0	   30.1	  147.8	  51.3	3515.0
 791.9	 29.77	 45.5	 45.9	  25.6	  22.9	   30.1	  147.8	  51.1	3513.0
 812.1	 29.88	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3510.0
 832.4	 29.88	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.2	3512.0
 852.7	 29.98	 45.6	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3511.0
 873.1	 29.98	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3513.0
 893.4	 30.03	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.4	3515.0
 913.6	 30.03	 45.4	 45.8	  25.6	  22.9	   30.1	  147.8	  51.3	3516.0
 933.9	 30.13	 45.5	 45.9	  25.6	  23.0	   30.0	  147.8	  51.1	3515.0
 954.2	 30.13	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3519.0
 974.4	 30.17	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3523.0
 994.7	 30.28	 45.5	 45.9	  25.7	  23.0	   30.0	  147.7	  51.1	3525.0
1015.0	 30.28	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.1	3523.0
1035.2	 30.32	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.2	3525.0
1055.5	 30.32	 45.9	 46.3	  25.6	  23.0	   30.0	  147.8	  51.2	3464.0
1075.8	 30.37	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.5	3531.0
1096.1	 30.37	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3529.0
1116.4	 30.45	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3533.0
1136.7	 30.45	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3530.0
1157.0	 30.45	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3530.0
1177.3	 30.45	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3528.0
1197.6	 30.48	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3529.0
