t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
   0.3	 43.95	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.0	2634.0
  20.6	 43.95	 45.0	 45.4	  25.6	  22.9	   30.1	  147.8	  51.2	2661.0
  40.9	 44.09	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2657.0
  61.2	 44.24	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2696.0
  81.4	 44.24	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	2793.0
 101.7	 44.36	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	2829.0
 122.1	 44.36	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2676.0
 142.4	 44.56	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2676.0
 162.7	 44.56	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	2713.0
 183.0	 44.63	 45.2	 45.6	  25.6	  22.9	   30.1	  147.8	  51.0	2753.0
 203.4	 44.83	 45.2	 45.7	  25.6	  22.9	   30.0	  147.8	  50.9	2865.0
 223.7	 44.83	 45.1	 45.5	  25.6	  22.9	   30.0	  147.7	  51.1	2945.0
 244.0	 44.93	 45.1	 45.5	  25.6	  22.9	   30.1	  147.7	  51.1	2693.0
 264.3	 44.93	 45.1	 45.5	  25.6	  22.9	   30.1	  147.8	  51.1	2747.0
 284.6	 45.13	 45.1	 45.5	  25.6	  22.9	   30.1	  147.8	  51.1	2737.0
 305.0	 45.23	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	2738.0
 325.3	 45.23	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	2758.0
 345.6	 45.36	 45.1	 45.5	  25.6	  22.9	   30.0	  147.8	  51.1	2752.0
 365.9	 45.36	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	2851.0
 386.2	 45.41	 45.2	 45.5	  25.6	  22.9	   30.1	  147.8	  51.1	2769.0
 406.5	 45.60	 45.2	 45.5	  25.6	  22.9	   30.0	  147.8	  51.0	2782.0
 426.8	 45.60	 45.1	 45.6	  25.6	  22.9	   30.1	  147.8	  51.0	2778.0
 447.0	 45.69	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	2783.0
 467.3	 45.69	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	2786.0
 487.7	 45.86	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.0	2760.0
 508.0	 45.95	 45.2	 45.6	  25.6	  22.9	   30.0	  147.8	  51.1	2764.0
 528.3	 45.95	 45.1	 45.5	  25.6	  22.9	   30.1	  147.8	  51.1	2769.0
